Id,CHURN,Gender,Status,Children,Est Income,Car Owner,Age,Paymethod,Usage,RatePlan,pChurn,3_Class,5_Class,is_test_set
86,T,F,S,1,12526.3,N,53.553332999999995,CC,40.59,2,0.7097525827351762,0.5,0.75,False
87,T,F,S,2,14578.8,Y,60.933333,Auto,107.02,1,0.3887312579053297,0.5,0.5,False
88,T,M,M,0,78572.2,Y,42.346667,CC,51.09,4,0.3979349941332174,0.5,0.5,False
89,F,F,M,2,48238.8,N,34.706666999999996,CC,191.32,4,0.21264962051474745,0.0,0.25,False
90,F,F,M,0,28770.9,N,12.34,CH,49.6,4,0.6091950542726838,0.5,0.5,False
91,F,F,M,2,87578.2,Y,53.36666700000001,CC,22.44,1,0.0798957272344781,0.0,0.0,False
92,F,F,M,2,86695.4,N,13.906667,CC,58.03,2,0.0954310964693708,0.0,0.0,False
93,F,F,S,2,76791.2,N,61.0,CC,43.71,4,0.329262970667459,0.5,0.25,False
94,T,F,D,0,30763.8,Y,14.193332999999999,CC,57.17,4,0.7137420462734948,0.5,0.75,False
95,F,F,M,2,3193.6,N,54.04666700000001,CH,118.82,3,0.3316722082328101,0.5,0.25,False
96,F,M,M,1,69680.9,N,15.846667000000002,CC,39.8,2,0.2347998554765961,0.0,0.25,False
97,F,F,M,0,83287.0,N,45.486667,Auto,119.82,3,0.15968857689341026,0.0,0.25,False
98,T,M,S,0,2056.06,Y,18.94,Auto,58.8,2,0.8164896379738859,1.0,0.75,False
99,F,F,M,2,7776.6,N,35.706666999999996,CC,94.2,4,0.2695770925744313,0.5,0.25,True
100,F,M,M,1,2067.82,N,47.853333,CC,85.9,4,0.4671083047880438,0.5,0.5,False
101,T,M,S,0,66666.0,N,52.0,CH,20.74,1,0.7657444859684505,1.0,0.75,False
102,F,F,M,2,69343.3,N,42.166667,CC,21.91,2,0.0935785147266386,0.0,0.0,False
103,F,F,M,0,77000.0,N,55.0,Auto,24.46,4,0.13526765070514146,0.0,0.25,False
104,F,F,M,0,14932.5,N,52.0,CC,11.42,1,0.4554407123756638,0.5,0.5,False
105,F,F,S,0,27498.1,N,42.0,CC,12.08,4,0.8131704264342788,1.0,0.75,False
106,F,F,M,2,21419.9,N,59.833332999999996,CC,129.51,1,0.19809170988616784,0.0,0.25,False
107,F,F,M,2,30665.2,Y,22.88,Auto,77.44,3,0.1126519221878778,0.0,0.0,False
108,F,F,M,1,66000.0,Y,63.353333,Auto,37.04,2,0.09108899673914904,0.0,0.0,False
109,F,F,M,2,50561.3,N,52.0,CH,129.91,2,0.19565542258698226,0.0,0.25,True
110,T,F,S,2,23464.0,Y,70.0,CC,64.14,3,0.5637329930733861,0.5,0.5,False
111,F,F,M,2,194.57,N,42.0,CC,67.21,4,0.2685815322935208,0.5,0.25,True
112,F,F,M,1,98680.4,Y,55.0,CH,26.44,4,0.19389800532325796,0.0,0.25,False
113,T,M,M,1,65619.7,Y,46.0,CC,158.22,3,0.3340965510120237,0.5,0.25,False
114,F,F,M,1,95620.3,Y,52.0,CC,104.53,2,0.17480107367772932,0.0,0.25,False
115,F,F,S,0,85275.0,N,47.0,Auto,174.09,2,0.5074951231567805,0.5,0.5,True
116,F,F,M,1,66921.4,Y,43.0,CC,24.67,3,0.2223622047544631,0.0,0.25,False
117,F,F,M,1,98453.6,Y,46.0,Auto,25.38,3,0.06529186158992355,0.0,0.0,False
118,F,F,M,2,94026.8,Y,27.746667,CC,35.63,3,0.09610566246083242,0.0,0.0,False
119,F,F,S,2,57420.0,Y,61.0,Auto,277.72,2,0.3682917952525968,0.5,0.25,False
120,T,M,M,0,77000.0,N,44.0,CH,34.35,4,0.4137525152668872,0.5,0.5,False
121,F,M,M,2,47639.1,N,48.0,CC,57.11,4,0.1667373714561928,0.0,0.25,False
122,F,F,M,2,63234.5,Y,52.36,CH,1.16,3,0.15245769046779098,0.0,0.25,False
123,F,F,M,2,18296.4,Y,42.626667,CC,10.47,3,0.21820008583582465,0.0,0.25,True
124,T,F,S,0,39461.0,N,22.226667000000003,CC,126.68,4,0.8521383546849436,1.0,0.75,True
125,F,F,S,1,68000.0,N,60.0,Auto,86.12,3,0.3293230445749579,0.5,0.25,False
126,F,F,M,2,52957.0,Y,39.746666999999995,CH,151.32,2,0.25105044088693884,0.5,0.25,False
127,F,F,S,2,86747.1,N,64.85333299999999,Auto,57.4,3,0.139834464373765,0.0,0.25,False
128,F,F,M,1,87404.6,N,63.18666700000001,Auto,160.84,3,0.0815456148769018,0.0,0.0,False
129,F,M,S,2,20919.0,N,27.886667,CC,164.54,2,0.6790565368967465,0.5,0.75,False
130,F,F,M,2,85394.0,Y,20.16,Auto,35.69,4,0.05037955429135843,0.0,0.0,False
131,T,F,S,0,2121.36,N,39.786667,CC,38.8,3,0.8688861473916519,1.0,0.75,False
132,F,F,M,2,63566.1,Y,56.3,CH,73.03,2,0.17021602532559946,0.0,0.25,False
133,F,F,S,0,89813.6,N,12.846667,CC,166.18,4,0.7638042370477306,1.0,0.75,False
134,F,F,M,2,82644.2,Y,33.493333,CC,41.85,4,0.11531719577347095,0.0,0.0,False
135,T,F,S,1,27783.6,N,14.04,CC,29.58,3,0.7168277722472817,0.5,0.75,True
136,F,F,M,2,60485.5,N,41.666667,Auto,40.41,1,0.0450520870374993,0.0,0.0,False
137,F,F,M,2,809.43,Y,31.913333,CH,2.89,1,0.3200316801289105,0.5,0.25,False
138,T,M,S,1,76529.8,N,58.28,CC,43.89,1,0.5090452014815176,0.5,0.5,False
139,F,F,M,2,34577.7,N,63.253333,CH,145.75,2,0.2318628262825163,0.0,0.25,False
140,F,F,M,0,80000.0,N,48.0,Auto,73.02,3,0.14619991771535626,0.0,0.25,False
141,T,F,S,2,19008.4,Y,52.166667,CC,147.74,4,0.6747916985021762,0.5,0.75,True
142,F,F,M,0,98056.3,N,55.966667,Auto,150.67,3,0.13528392025357386,0.0,0.25,False
143,T,M,M,0,73400.0,Y,64.226667,CH,2.21,4,0.4264305678571744,0.5,0.5,False
144,F,M,M,0,78894.2,N,28.0,CH,46.65,2,0.4149415629149071,0.5,0.5,False
145,T,M,S,1,16432.1,Y,20.92,CH,109.78,1,0.8693759036540943,1.0,0.75,False
146,T,M,M,0,62797.9,N,54.446667000000005,CH,68.09,1,0.436773768109933,0.5,0.5,False
147,T,M,S,1,71329.9,Y,42.233333,CC,63.75,3,0.6435801775398949,0.5,0.75,False
148,T,F,S,0,20913.6,N,53.013332999999996,CC,95.93,4,0.851685083407595,1.0,0.75,False
149,T,F,S,1,540.4,Y,39.213333,Auto,20.1,4,0.6222059417222855,0.5,0.5,False
150,F,M,M,2,67339.8,N,17.006667,CC,81.72,2,0.14916596565233986,0.0,0.25,False
151,T,M,M,1,75799.9,N,46.38,CC,94.06,3,0.2225783275202641,0.0,0.25,False
152,T,F,S,2,15688.5,N,53.06,CC,22.42,4,0.5467096782405853,0.5,0.5,False
153,T,F,S,0,43382.3,N,16.073332999999998,CH,138.37,2,0.8789868772239843,1.0,1.0,False
154,T,F,S,0,5185.31,N,62.053332999999995,CC,52.9,2,0.8453397050934399,1.0,0.75,False
155,T,F,S,0,41000.0,N,16.06,CC,134.45,4,0.8568575694026581,1.0,0.75,False
156,T,F,S,0,32098.0,N,22.433332999999998,CH,106.53,2,0.8827169452901794,1.0,1.0,False
157,F,F,M,2,80087.7,N,41.92,CC,31.56,4,0.09116938062927746,0.0,0.0,False
158,F,F,M,2,59691.3,N,38.04,CC,278.65,2,0.2066220214432544,0.0,0.25,False
159,T,F,S,2,11251.1,Y,61.0,CC,141.91,2,0.6620158171664747,0.5,0.75,False
160,T,M,M,0,70908.7,N,49.62,CC,55.47,4,0.3660028589791664,0.5,0.25,False
161,T,M,S,0,94928.3,N,40.18,CH,93.78,4,0.7690599938098688,1.0,0.75,False
162,F,F,M,2,50622.3,N,40.46,Auto,112.72,2,0.0668975780296822,0.0,0.0,True
163,T,M,M,0,78000.0,Y,52.266667,CC,39.32,3,0.3653255842481823,0.5,0.25,False
164,T,M,M,0,100020.0,Y,52.266667,CH,92.37,4,0.4122248328882037,0.5,0.5,False
165,F,F,M,1,56722.8,N,60.593332999999994,CC,74.77,2,0.20924713411997475,0.0,0.25,False
166,T,M,M,1,80000.0,N,53.213333,CC,3.22,3,0.1647926248484829,0.0,0.25,False
167,T,F,S,2,3416.62,Y,22.76,CC,123.7,4,0.7452812708771027,0.5,0.75,False
168,F,F,M,0,73400.0,Y,55.63333299999999,Auto,10.39,2,0.15049015400122365,0.0,0.25,True
169,T,M,M,0,120000.0,Y,53.213333,CC,40.9,4,0.2441849522185072,0.0,0.25,False
170,F,F,M,2,8032.16,N,45.666667,CC,88.77,2,0.23507646378764874,0.0,0.25,True
171,F,F,S,1,93454.3,Y,48.533333,Auto,44.13,4,0.2941054704340205,0.5,0.25,False
172,T,M,M,0,5745.0,Y,15.38,CC,44.11,1,0.6607910706373863,0.5,0.75,False
173,F,F,S,0,83287.0,N,77.0,Auto,215.96,4,0.5248504457289757,0.5,0.5,True
174,F,F,S,0,92564.1,Y,49.133333,Auto,74.86,3,0.4711692591032919,0.5,0.5,False
175,F,M,S,0,86448.2,Y,38.133333,CC,90.25,2,0.7555622627710564,1.0,0.75,False
176,F,F,M,2,48322.5,Y,49.333333,CC,50.29,1,0.14796879441119404,0.0,0.25,False
177,F,F,M,2,81913.8,Y,49.66,CC,53.03,1,0.0956736738210842,0.0,0.0,False
178,T,F,S,0,919.93,N,38.26,CH,120.71,3,0.9226540492285064,1.0,1.0,False
179,F,F,M,2,69486.8,N,30.946666999999998,CC,17.11,1,0.09375706216712354,0.0,0.0,False
180,F,F,M,2,24482.8,N,33.533333,CH,2.0,4,0.234179316433691,0.0,0.25,False
181,F,F,M,0,14573.6,N,64.606667,CC,263.58,4,0.6555896116643045,0.5,0.75,False
182,F,F,M,2,92103.8,N,52.153333,CC,14.86,3,0.06647557149695862,0.0,0.0,False
183,T,F,S,2,8392.14,Y,36.68,CH,87.16,3,0.7454068774107091,0.5,0.75,False
184,T,F,S,0,17138.2,N,63.786667,CC,104.69,3,0.8471769359125494,1.0,0.75,True
185,F,F,M,2,47010.1,N,57.406667000000006,CC,167.31,1,0.1605416098828395,0.0,0.25,True
186,F,F,S,1,67239.4,N,44.433333000000005,Auto,66.7,2,0.3291931046141035,0.5,0.25,False
187,F,M,M,1,69406.7,Y,30.0,CC,142.23,2,0.3218138334780047,0.5,0.25,False
188,F,F,M,2,83259.3,N,50.88,CC,4.46,4,0.07713745777439937,0.0,0.0,True
189,F,M,S,2,60095.2,Y,23.313333,Auto,117.85,2,0.3431865848304059,0.5,0.25,False
190,F,F,M,2,2185.6,N,52.513332999999996,CH,28.07,1,0.2601829739257225,0.5,0.25,False
191,T,M,M,1,76511.3,N,62.08,CC,42.52,2,0.17352283455347356,0.0,0.25,False
192,T,F,M,1,6946.07,N,23.0,CH,34.61,2,0.4618735298985186,0.5,0.5,False
193,F,F,M,2,11234.7,Y,49.046667,CC,113.42,3,0.2875430745476258,0.5,0.25,False
194,F,F,M,2,36660.9,Y,39.96,CH,3.36,1,0.20794572989117027,0.0,0.25,False
195,F,F,M,2,68462.8,N,34.4,CC,90.84,2,0.11849941678809378,0.0,0.0,False
196,F,F,M,2,72841.3,N,47.02,CC,82.53,1,0.09749374545905684,0.0,0.0,True
197,F,F,M,2,63670.8,Y,46.146667,Auto,78.87,2,0.060244626460253824,0.0,0.0,False
198,T,M,S,0,83287.0,N,45.486667,CC,70.7,2,0.7016165040646918,0.5,0.75,False
199,F,F,S,1,66000.0,Y,45.486667,Auto,120.53,1,0.4074468789915397,0.5,0.5,False
200,F,M,M,0,12387.6,N,56.17333299999999,Auto,93.85,2,0.3482429544350804,0.5,0.25,False
201,F,F,M,1,82931.3,N,64.64,Auto,137.25,2,0.07698538588330169,0.0,0.0,False
202,F,F,M,2,57483.9,N,44.026666999999996,CH,44.3,2,0.15189600830206476,0.0,0.25,False
203,T,F,S,2,21274.0,N,45.526666999999996,Auto,43.31,2,0.3074869061930605,0.5,0.25,True
204,F,F,M,2,28267.0,N,30.093333,CC,214.41,2,0.2657852634023937,0.5,0.25,False
205,F,F,M,2,36725.1,N,55.793333,CH,94.88,2,0.20857116054032432,0.0,0.25,False
206,T,M,S,1,94188.3,N,57.54666700000001,CC,41.51,2,0.4553406493836752,0.5,0.5,False
207,F,F,M,2,91861.0,Y,41.98,CC,22.06,3,0.08812556539718826,0.0,0.0,False
208,T,F,S,1,12374.9,Y,33.493333,Auto,123.59,3,0.6482140195435702,0.5,0.75,False
209,F,F,M,2,69133.9,Y,26.833333000000003,CH,46.32,2,0.17308318751960142,0.0,0.25,False
210,F,F,M,2,84948.0,Y,29.446666999999998,CH,23.73,3,0.13802000838015474,0.0,0.25,True
211,F,F,M,2,30998.8,N,40.96,Auto,52.91,2,0.07437084536213537,0.0,0.0,False
212,F,M,S,0,15924.2,N,14.46,CH,1.46,2,0.8973554283939726,1.0,1.0,True
213,F,M,M,2,21416.5,N,35.653333,CC,27.61,1,0.2009121309614906,0.0,0.25,False
214,F,M,M,2,78554.2,N,16.7,Auto,35.88,3,0.05152309876574148,0.0,0.0,False
215,T,M,S,1,3960.5,N,14.693332999999999,Auto,96.13,2,0.6618823302199649,0.5,0.75,False
216,T,M,M,0,60101.1,Y,63.766667000000005,CH,157.96,4,0.5898744043561961,0.5,0.5,False
217,F,F,M,2,38215.9,N,30.886667,Auto,0.97,2,0.06181071522342613,0.0,0.0,False
218,T,F,M,1,13829.4,N,22.0,CC,176.61,1,0.4497348518399073,0.5,0.5,False
219,F,F,M,2,49745.3,N,47.966667,CH,27.28,3,0.16413811750610305,0.0,0.25,False
220,F,F,M,2,88427.0,N,13.86,CC,69.97,3,0.10078046038595838,0.0,0.0,True
221,F,F,M,2,98003.7,Y,26.273333,CC,84.42,1,0.09537033861490808,0.0,0.0,False
222,F,M,S,0,89142.7,N,33.0,CC,16.91,2,0.6651498941231633,0.5,0.75,False
223,F,F,S,0,74530.8,N,63.086667000000006,Auto,127.89,2,0.4887866578089341,0.5,0.5,False
224,T,F,S,0,35000.0,N,23.0,CC,265.78,3,0.8976916241913221,1.0,1.0,False
225,F,F,M,2,76289.2,N,48.206666999999996,CC,104.63,2,0.10263725564473154,0.0,0.0,False
226,T,M,M,1,66931.9,N,63.933333,CC,17.46,4,0.197625851548578,0.0,0.25,False
227,T,F,D,1,9309.57,Y,24.0,CC,108.3,2,0.6250975473852622,0.5,0.75,False
228,T,F,M,1,14085.5,N,23.0,Auto,48.08,1,0.18062704481194147,0.0,0.25,False
229,T,F,S,0,32962.6,N,19.0,CC,168.28,2,0.8686512490879512,1.0,0.75,False
230,T,F,S,0,40000.0,N,20.0,CC,65.79,2,0.8139903740334818,1.0,0.75,False
231,T,F,S,2,33330.0,N,21.0,Auto,41.78,3,0.3112856871285053,0.5,0.25,False
232,T,F,S,1,32098.0,N,22.0,Auto,23.52,1,0.4436163579465413,0.5,0.5,False
233,T,F,S,2,30090.0,N,24.0,CC,62.95,1,0.5295450448864933,0.5,0.5,True
234,T,F,S,1,40120.0,N,24.0,CC,134.75,4,0.7395237765156091,0.5,0.75,False
235,F,F,M,2,90271.6,N,44.926667,CC,110.4,4,0.09638567331059104,0.0,0.0,False
236,F,F,M,2,64816.6,Y,31.126666999999998,CC,27.87,2,0.13015025107870068,0.0,0.25,False
237,F,F,M,2,98217.1,N,44.98,CC,42.74,1,0.0624511443786967,0.0,0.0,True
238,T,F,S,1,2929.13,N,53.50666700000001,CH,102.23,1,0.8157313464111104,1.0,0.75,False
239,F,F,M,2,41876.6,Y,44.093333,CC,139.44,3,0.22135222205153987,0.0,0.25,True
240,T,M,M,0,96223.4,Y,64.76,CC,18.18,1,0.2562326259873957,0.5,0.25,True
241,T,F,S,0,15989.3,N,61.693332999999996,CC,29.17,4,0.8279736045830424,1.0,0.75,False
242,T,M,M,0,69168.4,Y,62.426667,CC,234.91,2,0.5104049138507425,0.5,0.5,False
243,F,M,M,1,92148.5,Y,33.0,CC,113.68,2,0.2336807433188572,0.0,0.25,False
244,F,M,M,0,96681.0,Y,19.76,CC,73.76,2,0.3588990587569674,0.5,0.25,True
245,F,M,S,0,62705.9,Y,32.0,CC,33.44,2,0.7947408102263884,1.0,0.75,False
246,F,M,S,0,80221.2,N,29.026667,Auto,50.48,2,0.5052119530720655,0.5,0.5,False
247,F,M,S,0,84479.2,N,30.0,CC,56.23,2,0.7089378247893332,0.5,0.75,True
248,F,F,M,2,64977.4,N,38.193333,CC,45.77,2,0.10805725397310324,0.0,0.0,False
249,T,F,M,0,77994.0,N,50.553333,CH,102.02,1,0.3715554193733984,0.5,0.25,False
250,F,M,M,2,90103.7,N,34.946667,CC,66.45,3,0.10102046570976346,0.0,0.0,True
251,T,F,M,0,59008.4,Y,30.18,CC,31.59,1,0.395292969469214,0.5,0.5,True
252,F,M,M,2,5265.35,N,52.873332999999995,Auto,31.1,3,0.1134778689494487,0.0,0.0,False
253,T,M,S,1,84978.1,N,21.64,CH,88.79,1,0.6428500407743439,0.5,0.75,False
254,F,F,M,2,36647.9,N,49.986667,CC,107.38,3,0.17825325256089505,0.0,0.25,True
255,T,F,S,0,64319.2,N,41.226667,CH,40.16,1,0.7640331694124901,1.0,0.75,False
256,F,F,S,1,73338.0,N,48.246666999999995,Auto,29.93,3,0.2923937429592026,0.5,0.25,False
257,T,F,S,0,433.74,N,60.746667,CC,44.22,1,0.8456769526203374,1.0,0.75,False
258,F,F,M,2,16962.2,N,45.36,CC,27.57,2,0.18370129949757846,0.0,0.25,False
259,F,M,M,2,10708.3,N,26.026667,CH,142.95,3,0.40116929664934703,0.5,0.5,True
260,T,F,M,0,2031.61,N,20.3,CC,109.04,2,0.6336503607962145,0.5,0.75,False
261,F,F,S,2,16938.5,N,55.0,CH,22.11,2,0.5922776400389592,0.5,0.5,True
262,F,F,M,0,55221.0,N,42.0,CC,15.69,3,0.3533622039623249,0.5,0.25,False
263,F,F,M,1,8073.11,N,43.0,Auto,89.05,2,0.2019246203811472,0.0,0.25,False
264,F,M,M,1,95448.6,Y,53.68,CH,29.46,3,0.2240474983881688,0.0,0.25,False
265,T,M,S,1,24141.5,Y,17.006667,CC,125.87,4,0.8435882858380347,1.0,0.75,False
266,F,M,S,2,63152.6,Y,63.17333299999999,CC,70.01,1,0.44755822351030106,0.5,0.5,False
267,F,M,S,2,72084.7,N,55.64,CC,38.13,1,0.35228241047484066,0.5,0.25,False
268,F,F,S,0,42760.5,N,46.0,CC,53.7,3,0.7840979263578791,1.0,0.75,False
269,F,F,S,1,49072.0,N,47.0,Auto,34.25,2,0.3654303165732499,0.5,0.25,False
270,F,F,M,0,27371.8,Y,48.0,CC,142.7,4,0.6027825580005717,0.5,0.5,True
271,T,M,M,1,71472.9,N,41.913333,CH,130.22,3,0.3246005302483277,0.5,0.25,True
272,F,F,M,0,95405.7,N,42.0,CC,13.96,4,0.2389168674932368,0.0,0.25,False
